GeneID	Reads
FBgn0035360	35
FBgn0014931	443
FBgn0014930	732
FBgn0053558	378
FBgn0039297	38
FBgn0027562	0
FBgn0027563	34
FBgn0027560	7
FBgn0027561	3349
FBgn0027567	6887
FBgn0027564	1019
FBgn0027565	697
FBgn0027568	1713
FBgn0027569	2202
FBgn0040358	4
FBgn0011656	591
FBgn0040359	3
FBgn0039296	523
FBgn0010434	5696
FBgn0085218	0
FBgn0085219	0
FBgn0040355	0
FBgn0033579	26
FBgn0085210	0
FBgn0085211	0
FBgn0085212	197
FBgn0085213	0
FBgn0085214	0
FBgn0085215	969
FBgn0085216	18
FBgn0040353	0
FBgn0036115	0
FBgn0033434	1655
FBgn0036117	261
FBgn0036116	13
FBgn0033431	1162
FBgn0036110	162
FBgn0033432	242
FBgn0010431	3
FBgn0033439	0
FBgn0053779	0
FBgn0040752	2901
FBgn0015553	350
FBgn0015550	0
FBgn0040751	125
FBgn0053904	0
FBgn0040755	0
FBgn0015558	10
FBgn0040759	3
FBgn0010043	32
FBgn0028665	1237
FBgn0033570	1422
FBgn0038244	1304
FBgn0038243	94
FBgn0038242	2
FBgn0038241	0
FBgn0038240	0
FBgn0051721	2
FBgn0037610	587
FBgn0038248	0
FBgn0036379	0
FBgn0033573	0
FBgn0032864	5734
FBgn0036094	2
FBgn0036373	1156
FBgn0036372	1984
FBgn0036374	688
FBgn0036377	14
FBgn0036376	2154
FBgn0020443	5466
FBgn0051909	0
FBgn0051908	1042
FBgn0035034	2
FBgn0051904	0
FBgn0051907	0
FBgn0051901	12
FBgn0051900	37
FBgn0051728	4
FBgn0026566	1542
FBgn0005614	359
FBgn0052847	2
FBgn0005617	1648
FBgn0052843	0
FBgn0005613	5
FBgn0027338	6492
FBgn0005619	4
FBgn0039419	503
FBgn0051267	0
FBgn0035879	806
FBgn0035878	1001
FBgn0035877	205
FBgn0035876	267
FBgn0035875	0
FBgn0035873	0
FBgn0035872	3240
FBgn0035871	2205
FBgn0035870	10
FBgn0028642	0
FBgn0028864	0
FBgn0028646	1050
FBgn0028647	319
FBgn0028644	0
FBgn0028645	0
FBgn0028648	455
FBgn0028868	0
FBgn0025549	649
FBgn0028743	22
FBgn0032478	142
FBgn0032479	3624
FBgn0032476	1071
FBgn0032477	833
FBgn0039354	64
FBgn0032475	1507
FBgn0039352	409
FBgn0032473	38
FBgn0032470	64
FBgn0032471	2
FBgn0086899	2801
FBgn0086898	390
FBgn0086897	19757
FBgn0086896	6
FBgn0086895	916
FBgn0011888	0
FBgn0011889	0
FBgn0011880	0
FBgn0011881	0
FBgn0011882	0
FBgn0052312	0
FBgn0011884	0
FBgn0011885	0
FBgn0011887	0
FBgn0067715	1
FBgn0067714	0
FBgn0067717	0
FBgn0067716	0
FBgn0067711	3
FBgn0067710	2
FBgn0067713	0
FBgn0003048	1996
FBgn0003511	647
FBgn0003510	155
FBgn0003513	0
FBgn0003512	1264
FBgn0003515	0
FBgn0067718	0
FBgn0003041	5397
FBgn0042627	98
FBgn0042198	0
FBgn0042199	0
FBgn0034614	716
FBgn0053464	279
FBgn0053465	0
FBgn0035299	0
FBgn0035298	757
FBgn0053460	562
FBgn0053461	14
FBgn0046756	93
FBgn0053463	2
FBgn0035293	0
FBgn0035290	0
FBgn0035297	131
FBgn0035296	556
FBgn0035295	231
FBgn0035294	891
FBgn0032228	558
